Patsiendi küsimus,Terapeudi vastus
"Olen tundnud stressi, kas saate mind aidata?","Räägime sellest, mis on teie stressi põhjustanud, ja leiame viise, kuidas sellega toime tulla."
"Mul on olnud raskeid päevi, mida ma peaksin tegema?","Oluline on tunnistada neid raskeid päevi ja uurida, mis võib neile kaasa aidata."
"Mu tuju langeb pärastlõunal, miks see nii on?",Pärastlõunasel madalseisul võib olla mitu põhjust; Alustuseks uurime teie rutiine ja toitumist.
"Minu peresuhted on keerulised, kuidas seda lahendada?",Perekonna dünaamika võib olla keeruline. Saame töötada kommunikatsioonistrateegiate ja piiride kallal. (4)
"Enda jaoks aja leidmine on raske, mis on teie nõuanne?",Vaatame koos teie ajakava ja leiame võimalused enesehoolduseks. (4)
Kuidas ma peaksin stressiga paremini toime tulema?,"Võime proovida stressi vähendamise tehnikaid, nagu tähelepanelikkus või treening. (4)"
Millised on head lõõgastusviisid?,"Lõõgastumine on isiklik, kuid saame uurida hobisid, meditatsiooni või lõõgastusharjutusi. (4)"
"Mul on probleeme unega, kas saate aidata?",Arutagem kindlasti teie öist rutiini ja koostame une parandamise plaani. (4)
Miks mu isu nii palju erineb?,"Söögiisu võivad mõjutada stress, emotsioonid ja muud tegurid. Uurime seda lähemalt. (4)"
Millised tegevused võivad aidata mul end paremini tunda?,"Tegutsemine tegevustega, mis teile rahuldust pakuvad ja meeldivad, võib olla väga teraapiline. (4)"
Kui oluline on tugisüsteemi olemasolu?,"Tugisüsteem on ülioluline. See pakub usalduse ja hoolitsuse võrgustikku, kui seda vajate. (4)"
"Mõnikord kahtlen endas, mida ma peaksin tegema?","Eneses kahtlemine on loomulik, kuid me saame töötada teie enesehinnangu ja enesekindluse suurendamise nimel. (4)"
Kuidas juhtida häirivaid mõtteid?,Nende mõtete käsitlemiseks ja juhtimiseks saame kasutada kognitiiv-käitumuslikke tehnikaid. (4)
"Rahvarohked kohad teevad mind ärevaks, kas see on tavaline?","Jah, see on tavaline reaktsioon. Saame välja töötada strateegiad selle ärevuse vähendamiseks. (4)"
Milliseid eesmärke peaksin teraapiale seadma?,"Eesmärkide seadmine on isiklik, kuid me saame alustada sellest, mis on teie jaoks kõige pakilisem. (4)"
"Ma mõtlen pidevalt minevikusündmuste üle, kuidas ma saan lõpetada?","Mäletsemine võib olla keeruline, kuid me saame töötada teadveloleku ja minevikusündmustest lahti laskmise nimel. (4)"
Kuidas peaksin konfliktiga toime tulema?,Konfliktidega tegelemine seisneb enesekehtestamises ja tervislikus suhtlemises. Saame seda harjutada. (4)
"Mul õnnestus hiljuti midagi, kuid tunnen end süüdi, miks?","Mõnikord toob edu ootamatuid emotsioone. Uurime, mida edu teie jaoks tähendab. (4)"
"Minu peresuhted on keerulised, kuidas seda lahendada?",Perekonna dünaamika võib olla keeruline. Saame töötada kommunikatsioonistrateegiate ja piiride kallal. (5)
"Enda jaoks aja leidmine on raske, mis on teie nõuanne?",Vaatame koos teie ajakava ja leiame võimalused enesehoolduseks. (5)
Kuidas ma peaksin stressiga paremini toime tulema?,"Võime proovida stressi vähendamise tehnikaid, nagu tähelepanelikkus või treening. (5)"
Millised on head lõõgastusviisid?,"Lõõgastumine on isiklik, kuid saame uurida hobisid, meditatsiooni või lõõgastusharjutusi. (5)"
"Mul on probleeme unega, kas saate aidata?",Arutagem kindlasti teie öist rutiini ja koostame une parandamise plaani. (5)
Miks mu isu nii palju erineb?,"Söögiisu võivad mõjutada stress, emotsioonid ja muud tegurid. Uurime seda lähemalt. (5)"
Millised tegevused võivad aidata mul end paremini tunda?,"Tegutsemine tegevustega, mis teile rahuldust pakuvad ja meeldivad, võib olla väga teraapiline. (5)"
Kui oluline on tugisüsteemi olemasolu?,"Tugisüsteem on ülioluline. See pakub usalduse ja hoolitsuse võrgustikku, kui seda vajate. (5)"
"Mõnikord kahtlen endas, mida ma peaksin tegema?","Eneses kahtlemine on loomulik, kuid me saame töötada teie enesehinnangu ja enesekindluse suurendamise nimel. (5)"
Kuidas juhtida häirivaid mõtteid?,Nende mõtete käsitlemiseks ja juhtimiseks saame kasutada kognitiiv-käitumuslikke tehnikaid. (5)
"Rahvarohked kohad teevad mind ärevaks, kas see on tavaline?","Jah, see on tavaline reaktsioon. Saame välja töötada strateegiad selle ärevuse vähendamiseks. (5)"
Milliseid eesmärke peaksin teraapiale seadma?,"Eesmärkide seadmine on isiklik, kuid me saame alustada sellest, mis on teie jaoks kõige pakilisem. (5)"
"Ma mõtlen pidevalt minevikusündmuste üle, kuidas ma saan lõpetada?","Mäletsemine võib olla keeruline, kuid me saame töötada teadveloleku ja minevikusündmustest lahti laskmise nimel. (5)"
Kuidas peaksin konfliktiga toime tulema?,Konfliktidega tegelemine seisneb enesekehtestamises ja tervislikus suhtlemises. Saame seda harjutada. (5)
"Mul õnnestus hiljuti midagi, kuid tunnen end süüdi, miks?","Mõnikord toob edu ootamatuid emotsioone. Uurime, mida edu teie jaoks tähendab. (5)"
"Minu peresuhted on keerulised, kuidas seda lahendada?",Perekonna dünaamika võib olla keeruline. Saame töötada kommunikatsioonistrateegiate ja piiride kallal. (6)
"Enda jaoks aja leidmine on raske, mis on teie nõuanne?",Vaatame koos teie ajakava ja leiame võimalused enesehoolduseks. (6)
Kuidas ma peaksin stressiga paremini toime tulema?,"Võime proovida stressi vähendamise tehnikaid, nagu tähelepanelikkus või treening. (6)"
Millised on head lõõgastusviisid?,"Lõõgastumine on isiklik, kuid saame uurida hobisid, meditatsiooni või lõõgastusharjutusi. (6)"
"Mul on probleeme unega, kas saate aidata?",Arutagem kindlasti teie öist rutiini ja koostame une parandamise plaani. (6)
Miks mu isu nii palju erineb?,"Söögiisu võivad mõjutada stress, emotsioonid ja muud tegurid. Uurime seda lähemalt. (6)"
Millised tegevused võivad aidata mul end paremini tunda?,"Tegutsemine tegevustega, mis teile rahuldust pakuvad ja meeldivad, võib olla väga teraapiline. (6)"
Kui oluline on tugisüsteemi olemasolu?,"Tugisüsteem on ülioluline. See pakub usalduse ja hoolitsuse võrgustikku, kui seda vajate. (6)"
"Mõnikord kahtlen endas, mida ma peaksin tegema?","Eneses kahtlemine on loomulik, kuid me saame töötada teie enesehinnangu ja enesekindluse suurendamise nimel. (6)"
Kuidas juhtida häirivaid mõtteid?,Nende mõtete käsitlemiseks ja juhtimiseks saame kasutada kognitiiv-käitumuslikke tehnikaid. (6)
"Rahvarohked kohad teevad mind ärevaks, kas see on tavaline?","Jah, see on tavaline reaktsioon. Saame välja töötada strateegiad selle ärevuse vähendamiseks. (6)"
Milliseid eesmärke peaksin teraapiale seadma?,"Eesmärkide seadmine on isiklik, kuid me saame alustada sellest, mis on teie jaoks kõige pakilisem. (6)"
"Ma mõtlen pidevalt minevikusündmuste üle, kuidas ma saan lõpetada?","Mäletsemine võib olla keeruline, kuid me saame töötada teadveloleku ja minevikusündmustest lahti laskmise nimel. (6)"
Kuidas peaksin konfliktiga toime tulema?,Konfliktidega tegelemine seisneb enesekehtestamises ja tervislikus suhtlemises. Saame seda harjutada. (6)
"Mul õnnestus hiljuti midagi, kuid tunnen end süüdi, miks?","Mõnikord toob edu ootamatuid emotsioone. Uurime, mida edu teie jaoks tähendab. (6)"
"Minu peresuhted on keerulised, kuidas seda lahendada?",Perekonna dünaamika võib olla keeruline. Saame töötada kommunikatsioonistrateegiate ja piiride kallal. (7)
"Enda jaoks aja leidmine on raske, mis on teie nõuanne?",Vaatame koos teie ajakava ja leiame võimalused enesehoolduseks. (7)
Kuidas ma peaksin stressiga paremini toime tulema?,"Võime proovida stressi vähendamise tehnikaid, nagu tähelepanelikkus või treening. (7)"
Millised on head lõõgastusviisid?,"Lõõgastumine on isiklik, kuid saame uurida hobisid, meditatsiooni või lõõgastusharjutusi. (7)"
"Mul on probleeme unega, kas saate aidata?",Arutagem kindlasti teie öist rutiini ja koostame une parandamise plaani. (7)
Miks mu isu nii palju erineb?,"Söögiisu võivad mõjutada stress, emotsioonid ja muud tegurid. Uurime seda lähemalt. (7)"
Millised tegevused võivad aidata mul end paremini tunda?,"Tegutsemine tegevustega, mis teile rahuldust pakuvad ja meeldivad, võib olla väga teraapiline. (7)"
Kui oluline on tugisüsteemi olemasolu?,"Tugisüsteem on ülioluline. See pakub usalduse ja hoolitsuse võrgustikku, kui seda vajate. (7)"
"Mõnikord kahtlen endas, mida ma peaksin tegema?","Eneses kahtlemine on loomulik, kuid me saame töötada teie enesehinnangu ja enesekindluse suurendamise nimel. (7)"
Kuidas juhtida häirivaid mõtteid?,Nende mõtete käsitlemiseks ja juhtimiseks saame kasutada kognitiiv-käitumuslikke tehnikaid. (7)
"Rahvarohked kohad teevad mind ärevaks, kas see on tavaline?","Jah, see on tavaline reaktsioon. Saame välja töötada strateegiad selle ärevuse vähendamiseks. (7)"
Milliseid eesmärke peaksin teraapiale seadma?,"Eesmärkide seadmine on isiklik, kuid me saame alustada sellest, mis on teie jaoks kõige pakilisem. (7)"
"Ma mõtlen pidevalt minevikusündmuste üle, kuidas ma saan lõpetada?","Mäletsemine võib olla keeruline, kuid me saame töötada teadveloleku ja minevikusündmustest lahti laskmise nimel. (7)"
Kuidas peaksin konfliktiga toime tulema?,Konfliktidega tegelemine seisneb enesekehtestamises ja tervislikus suhtlemises. Saame seda harjutada. (7)
"Mul õnnestus hiljuti midagi, kuid tunnen end süüdi, miks?","Mõnikord toob edu ootamatuid emotsioone. Uurime, mida edu teie jaoks tähendab. (7)"
"Minu peresuhted on keerulised, kuidas seda lahendada?",Perekonna dünaamika võib olla keeruline. Saame töötada kommunikatsioonistrateegiate ja piiride kallal. (8)
"Enda jaoks aja leidmine on raske, mis on teie nõuanne?",Vaatame koos teie ajakava ja leiame võimalused enesehoolduseks. (8)
Kuidas ma peaksin stressiga paremini toime tulema?,"Võime proovida stressi vähendamise tehnikaid, nagu tähelepanelikkus või treening. (8)"
Millised on head lõõgastusviisid?,"Lõõgastumine on isiklik, kuid saame uurida hobisid, meditatsiooni või lõõgastusharjutusi. (8)"
"Mul on probleeme unega, kas saate aidata?",Arutagem kindlasti teie öist rutiini ja koostame une parandamise plaani. (8)
Miks mu isu nii palju erineb?,"Söögiisu võivad mõjutada stress, emotsioonid ja muud tegurid. Uurime seda lähemalt. (8)"
Millised tegevused võivad aidata mul end paremini tunda?,"Tegutsemine tegevustega, mis teile rahuldust pakuvad ja meeldivad, võib olla väga teraapiline. (8)"
Kui oluline on tugisüsteemi olemasolu?,"Tugisüsteem on ülioluline. See pakub usalduse ja hoolitsuse võrgustikku, kui seda vajate. (8)"
"Mõnikord kahtlen endas, mida ma peaksin tegema?","Eneses kahtlemine on loomulik, kuid me saame töötada teie enesehinnangu ja enesekindluse suurendamise nimel. (8)"
Kuidas juhtida häirivaid mõtteid?,Nende mõtete käsitlemiseks ja juhtimiseks saame kasutada kognitiiv-käitumuslikke tehnikaid. (8)
"Rahvarohked kohad teevad mind ärevaks, kas see on tavaline?","Jah, see on tavaline reaktsioon. Saame välja töötada strateegiad selle ärevuse vähendamiseks. (8)"
Milliseid eesmärke peaksin teraapiale seadma?,"Eesmärkide seadmine on isiklik, kuid me saame alustada sellest, mis on teie jaoks kõige pakilisem. (8)"
"Ma mõtlen pidevalt minevikusündmuste üle, kuidas ma saan lõpetada?","Mäletsemine võib olla keeruline, kuid me saame töötada teadveloleku ja minevikusündmustest lahti laskmise nimel. (8)"
Kuidas peaksin konfliktiga toime tulema?,Konfliktidega tegelemine seisneb enesekehtestamises ja tervislikus suhtlemises. Saame seda harjutada. (8)
"Mul õnnestus hiljuti midagi, kuid tunnen end süüdi, miks?","Mõnikord toob edu ootamatuid emotsioone. Uurime, mida edu teie jaoks tähendab. (8)"
"Minu peresuhted on keerulised, kuidas seda lahendada?",Perekonna dünaamika võib olla keeruline. Saame töötada kommunikatsioonistrateegiate ja piiride kallal. (9)
"Enda jaoks aja leidmine on raske, mis on teie nõuanne?",Vaatame koos teie ajakava ja leiame võimalused enesehoolduseks. (9)
Kuidas ma peaksin stressiga paremini toime tulema?,"Võime proovida stressi vähendamise tehnikaid, nagu tähelepanelikkus või treening. (9)"
Millised on head lõõgastusviisid?,"Lõõgastumine on isiklik, kuid saame uurida hobisid, meditatsiooni või lõõgastusharjutusi. (9)"
"Mul on probleeme unega, kas saate aidata?",Arutagem kindlasti teie öist rutiini ja koostame une parandamise plaani. (9)
Miks mu isu nii palju erineb?,"Söögiisu võivad mõjutada stress, emotsioonid ja muud tegurid. Uurime seda lähemalt. (9)"
Millised tegevused võivad aidata mul end paremini tunda?,"Tegutsemine tegevustega, mis teile rahuldust pakuvad ja meeldivad, võib olla väga teraapiline. (9)"
Kui oluline on tugisüsteemi olemasolu?,"Tugisüsteem on ülioluline. See pakub usalduse ja hoolitsuse võrgustikku, kui seda vajate. (9)"
"Mõnikord kahtlen endas, mida ma peaksin tegema?","Eneses kahtlemine on loomulik, kuid me saame töötada teie enesehinnangu ja enesekindluse suurendamise nimel. (9)"
Kuidas juhtida häirivaid mõtteid?,Nende mõtete käsitlemiseks ja juhtimiseks saame kasutada kognitiiv-käitumuslikke tehnikaid. (9)
"Rahvarohked kohad teevad mind ärevaks, kas see on tavaline?","Jah, see on tavaline reaktsioon. Saame välja töötada strateegiad selle ärevuse vähendamiseks. (9)"
Milliseid eesmärke peaksin teraapiale seadma?,"Eesmärkide seadmine on isiklik, kuid me saame alustada sellest, mis on teie jaoks kõige pakilisem. (9)"
"Ma mõtlen pidevalt minevikusündmuste üle, kuidas ma saan lõpetada?","Mäletsemine võib olla keeruline, kuid me saame töötada teadveloleku ja minevikusündmustest lahti laskmise nimel. (9)"
Kuidas peaksin konfliktiga toime tulema?,Konfliktidega tegelemine seisneb enesekehtestamises ja tervislikus suhtlemises. Saame seda harjutada. (9)
"Mul õnnestus hiljuti midagi, kuid tunnen end süüdi, miks?","Mõnikord toob edu ootamatuid emotsioone. Uurime, mida edu teie jaoks tähendab. (9)"
"Minu peresuhted on keerulised, kuidas seda lahendada?",Perekonna dünaamika võib olla keeruline. Saame töötada kommunikatsioonistrateegiate ja piiride kallal. (10)
"Enda jaoks aja leidmine on raske, mis on teie nõuanne?",Vaatame koos teie ajakava ja leiame võimalused enesehoolduseks. (10)
Kuidas ma peaksin stressiga paremini toime tulema?,"Võime proovida stressi vähendamise tehnikaid, nagu tähelepanelikkus või treening. (10)"
Millised on head lõõgastusviisid?,"Lõõgastumine on isiklik, kuid saame uurida hobisid, meditatsiooni või lõõgastusharjutusi. (10)"
"Mul on probleeme unega, kas saate aidata?",Arutagem kindlasti teie öist rutiini ja koostame une parandamise plaani. (10)
Miks mu isu nii palju erineb?,"Söögiisu võivad mõjutada stress, emotsioonid ja muud tegurid. Uurime seda lähemalt. (10)"
Millised tegevused võivad aidata mul end paremini tunda?,"Tegevustega, mis teile rahuldust pakkuvad ja meeldivad, võib olla väga teraapiline. (10)"
